title,contributor_name,code_link,mentors,organization,technologies,topics,project_details,url
API and Mobile App: E2E encryption and security improvement in Talawa and Talawa-API,literalEval,https://literaleval.notion.site/GSoC-23-E2E-Encryption-98b3422c52da476cb3ffa367acd94b2c?pvs=4,"Crystian Ioppolo, Md Noman Khan, NISHNATA DEBNATH",The Palisadoes Foundation,"react, nodejs, flutter, graphql, SHA256","security, encryption, Secret Key Generation and Storage","This proposal aims to implement E2E Encryption in the Talawa Ecosystem from the ground up. The initial aim will be to implement secure credential transfer and session storage, followed by E2E encrypted private chats. Then I will build upon the idea to implement the same for group chats and media files. In the end, all of this will be implemented in Talawa Admin and finally testing and documentation will be done.",https://summerofcode.withgoogle.com/programs/2023/projects/oNSiZ7o3
IDEA: Realtime object tracking models,lpy,https://github.com/opencv/opencv/pull/24201,Zihao Mu,OpenCV,"python, c++, deep learning",vision,Real-time object tracking models working on edge devices. I will use MAE pre train and knowledge distillation to make the performance better. The deliverables include a high-speed model and the c++ code to deploy it,https://summerofcode.withgoogle.com/programs/2023/projects/okIdfVpA
Lensiformer: A Physics-Informed Vision Transformer Architecture for Dark Matter Morphology,Lucas José,https://medium.com/@lucas.jose.veloso.de.souza/lensiformer-a-relativistic-physics-informed-vision-transformer-architecture-for-dark-matter-a119f6d0dc0d,"Purva Chaudhari, Michael Toomey, Anna Parul, PG Guan",Machine Learning for Science (ML4SCI),"python, opencv, numpy, pytorch, Matplotlib, Scipy, scikit-optimize","machine learning, vision, physics, astrophysics, Transformers, Dark Matter, ViT, PINN","We introduce Lensiformer, a state-of-the-art transformer architecture that incorporates the principles of relativistic physics for the classification of dark matter morphologies through gravitational lensing observations. This unique model combines the strengths of Transformer models in NLP with the analytical rigor of Physics-Informed Neural Networks (PINNs). Leveraging relativistic equations and Singular Isothermal Spherical models, Lensiformer accurately approximates the gravitational potential exerted by lensing galaxies and dark matter. These physics-based features are integrated into a Vision Transformer (ViT) neural network, providing a nuanced understanding of different dark matter structures like Cold Dark Matter and No-Substructure Dark Matter, and their associated gravitational imprints on light paths and galaxy distortions. To validate the model, we generate a specialized dataset using real galaxy images as source objects and benchmark Lensiformer against other leading models, confirming its superior performance in discerning different kinds of dark matter morphologies.",https://summerofcode.withgoogle.com/programs/2023/projects/eNzfLWS9
Improve Waveform drawing speed,Lucas Tadeu Teixeira,https://www.lucastadeu.com/p/improving-waveform-drawing-speed,Richard Antalik,Blender Foundation,c++,"audio processing, video editing, performance improvement","Blender supports video editing through its video sequence editor. While the editor allows users to load videos and audio files, computing the audio waveforms for the audio tracks can take a really long time when working with large files (multiple gigabytes). This makes for a degraded user experience. This project will reduce the time taken to see the waveforms by: ● Processing multiple audio sequences in parallel in the background, ● Only computing the waveforms of sequences that are visible in the user interface Once these initial speed ups are achieved, I'll explore improvement opportunities lower down the audio processing stack.",https://summerofcode.withgoogle.com/programs/2023/projects/tYsdcgpI
Advancing Reproducible Science through Open Source Laboratory Protocols as Software,Luiza Zucchi Hesketh,https://gist.github.com/LuHesketh/d5138b28c75ae5ec79648e8ebac6d7fd,"Tim Fallon, Daniel Bryce",UC OSPO,"python, json, xml, VENUS(Hamilton SOFTWARE)","robotics, python, Laboratory Automation, Laboratory Protocols, Semantic Web Technologies, Bioengineering",The project aims to develop a Python-to-Python conversor for LabOP-written Laboratory protocols to be executed by Hamilton Machines using PyHamilton as a the main bridge. The project will benefit scientists by providing open-source protocols for replicating experiments through an open-source software stack. PyHamilton is an open-source Python package that allows its user to control Hamilton liquid handling robots without its native software constraints. The Protocol used as model is a DNA purification protocol and its integration with LabOP came to fruition with the goal of making the protocol as reproducible as possible since the translation process can be done in different ways by different sites using distinct machines.,https://summerofcode.withgoogle.com/programs/2023/projects/nrezQTSy
03: Migrate vanilla React forms to RHF,Lumu Christopher,https://medium.com/@topherlumu_55016/migrating-vanilla-react-forms-to-react-hookform-gsoc23-c7c67303944e,"Hadijah Kyampeire, Dennis Kigen",OpenMRS,"javascript, react, typescript",microfrontend,"Openmrs had a requirement to improve the performance and maintainability of the existing vanilla React Forms in our application. The current forms had become less performant or extensible and difficult to manage as they grow in size and number of fields and for the most part lack validation. To address this, I proposed to refactor the existing forms using the React Hook Form (RHF) library and Zod for schema validation. React Hook Form offers easy-to-use validation out of the box, performance and tiny bundle size",https://summerofcode.withgoogle.com/programs/2023/projects/wlrUpqJ3
Google Summer of Code Community Hub,M. Palanikannan,https://github.com/RocketChat/GSoC-Community-Hub,"Dnouv, Hugo Costa, DhruvJain",rocket.chat,"Advanced Typescript, Advanced React, Next.js 13, Full Stack Componentization",web,"Every year, it is understandable that open-source organisations invest a significant amount of time and effort in preparing for GSoC. That's why the Google Summer of Code Community Hub will act as an essential tool to help prepare and support every organisation before and during the program. The GSoC Community Hub is designed to be a one-stop-shop for open-source groups to interact, collaborate, and monitor their progress before and during GSoC. It provides an all-in-one platform that combines chat rooms, forums, custom leaderboard, community meetings, communication over specific GitHub repositories, and other essential features, making it easier for mentors and mentees to find and collaborate on relevant projects.",https://summerofcode.withgoogle.com/programs/2023/projects/pzAncbjU
Editor Integration,maan2003,https://docs.google.com/document/d/1TfgwYuFQq8A8k3XGuMZVLzHXOGAARZp25Jzbk3LLf34,Josh Levenberg,Carbon Language,c++,"compilers, language server","Make the developer experience for Carbon developers better by adding support for Carbon to editors and IDEs. Possible tasks include: Create an ""official"" VSCode extension with a mirror repo and packaging similar to the Vim repo we provide. Add syntax highlighting using a Tree-sitter grammar for Carbon. Create a language server for Carbon Deliverables • A working language server for Carbon that supports features like code completion, diagnostics, and go to definition. • A parser that can handle incomplete or erroneous input and produce a Carbon AST. • A test suite that verifies the correctness and performance of the language server. • A tree-sitter parser for Carbon that passes the explorer test suite. (Optional)",https://summerofcode.withgoogle.com/programs/2023/projects/xY7b8v6G
Setting up the CI/CD Pipeline using Github Actions on GraphSpace,Mahesh Kasbe,https://gist.github.com/maheshkasabe/0218efdc41da263331a99588573adec7,"Yash Agarwal_, Daniyal Jahan",National Resource for Network Biology (NRNB),"python, django, docker, YAML, GithubActions","cloud, devops, WebDevelopement","Currently the Graphspace code repository has a lot of mismatched dependency issues & consist no automating techniques in their repository to release or test graphspace image while deploying to production. The Project aims to stabilise & setup the CI/CD pipeline for Graphspace project. The project involves creating a Production ready Dokcerfile setup to install graphspace locally. The project also focuses on automating the release workflow of Docker image to Docker-registry services like AWS ECR or Dockerhub, automating the releasing, testing PR , labelling (PR's & Issues), performing necessary security checks & image vulnerability scans by creating multiple workflows with Github Actions",https://summerofcode.withgoogle.com/programs/2023/projects/tSIGvxsf
Keploy CLI Refactoring,Mahfooz Alam,https://github.com/aerowisca/GSoC-2023-Report/blob/main/GSoC_2023_Report.md,"NehaGupta, Shubham Jain, Animesh Pathak, re-Tick, Pranshu, charanK, Gourav Kumar, Sarthak Shyngle",Keploy,go,API Testing,"This project aims to improve Keploy CLI workflow to make the user experience smooth. Since the UI has been deprecated, we need to make sure that the CLI is fully functional and easy to scale and modify in the upcoming years. For that, we need to have a stable API with the correct design decisions, since backwards compatibility for big projects is a must. The secondary goal of this project is to make the developer experience smooth as well. Keploy works, but the code is all over the place, unit test logic is embedded with actual code, there are lots of internal context on functions that should be better documented, etc. The last goal is to make it easy for the maintainers of the project to accept contributions from outsiders. Currently, one of the maintainers needs to manually test the changes locally to ensure that no regression has been caused. We need to automate this process, requiring stricter unit tests (which would only be feasible for newcomers if we have the framework in place).",https://summerofcode.withgoogle.com/programs/2023/projects/m3NRu5wa
"HAPIS Refurbishment ""Humanitarian Aid Panoramic Interactive System""",Mahinour Elsarky,https://medium.com/@mahinouralaa2002/google-summer-of-code-2023-with-liquid-galaxy-organization-f9dd550f6bc1,"Karine Pistili Rodrigues, Claudia, Deniz Yuksel",Liquid Galaxy project,"flutter, sqlite, dart, KML","mobile development, android","Introduction: The main idea of HAPIS Refurbishment is to have a simple functional application that is able to connect those who need something with those willing to offer it through an android mobile application where the user can simply fill in a form or view the list of seekers & givers any place in the world. Things offered can fall in any category such as food, clothes, electronics, books...etc. We will use the technology of Liquid Galaxy in order to visualize all Humanitarian actions all around the world by viewing on the LG the number of people currently offering something, or seeking something as well as some statistics such as the number of successful donations that happened either locally or globally. Controlling the LG would be through an android tablet application. Deliverables: - The mobile application fully functional - The tablet application fully functional and published on the Play Store under the Liquid Galaxy LAB account - Full documentation and code on GitHub",https://summerofcode.withgoogle.com/programs/2023/projects/Fv4ImOa2
Navigator plugin modernization,Mahmoud Hamdy,https://github.com/cockpit-project/cockpit-navigator,"Katerina Koukiou, mmarusak",Cockpit Project,"python, javascript, react","operating systems, web, linux","""Cockpit navigator"" is a featureful File System Browser for Cockpit, which allows the user to remotely browse, manage, edit, upload, and download files on the server through the web browser. The project is about modernizing this plugin by following some new designs and rewriting the codebase to follow the standards specified by the starter-kit plugin. The project includes porting to React, adding tests, updating Patternfly, and much more.",https://summerofcode.withgoogle.com/programs/2023/projects/KNYEb8CT
Improve AR/VR experience on Web,Mahmoud Tawfik,https://gist.github.com/mahmoudahmedd/57d5ada258756d49420608c3cad07596,"Sreeja Kamishetty, Alex Cooper, Piotr Bialecki",Chromium,"javascript, java, c++, html, css, WebXR API","virtual reality, web, Augmented Reality, WebXR","The goal of this project is to develop a debugging page called ""xr-internals"" to help developers debug and optimize AR/VR web applications. The page will provide relevant information and data to help identify performance issues and other problems with the application, while augment existing performance metrics to be effectively surfaced within the same page. Also improve the WebXR experience in Chromium by addressing critical issues reported in the bug tracker and implementing missing features.",https://summerofcode.withgoogle.com/programs/2023/projects/4EVJm10k
OpenRAM Layout verses Schematic (LVS) visualization,Mahnoor_Ismail,https://mahnoorismail011.medium.com/the-lvs-visualizer-your-ultimate-circuit-design-companion-2dc5cbc7caa2,"mrg, jcirimel",UC OSPO,"python, json, VLSI, OpenRAM framework","visualization, debugging, python, json, ASIC design, OpenRAM, VLSI, GUI development","This project aims to develop a comprehensive Python-based graphical user interface (GUI) with a robust backend system to effectively analyze, visualize, and debug layout versus schematic (LVS) mismatches in the OpenRAM framework. The proposed solution focuses on efficiently processing LVS report files in JSON format, identifying mismatched nets in the layout, and visually representing extra nets in the schematic graph using advanced backend algorithms. By implementing a powerful backend system, the GUI will streamline the debugging process and improve overall productivity, while maintaining high performance and reliability. The deliverables for this project include a fully-functional GUI with a performant backend, features for visualizing and navigating through LVS mismatches, comprehensive documentation, and user guides.",https://summerofcode.withgoogle.com/programs/2023/projects/f9rIZ3dm
AGL @ Linux Foundation | GSoC 2023 | Enhance Speech Recognition,Malik Talha Saeed,https://blog.maliktalha.me/post/gsoc2023-final-report,"Walt Miner, Jan-Simon Möller, Scott Murray, Marius Vlad",The Linux Foundation,"python, linux, c/c++, gstreamer, flutter, yocto, dart, grpc, AGL, Vosk, Kuksa","operating systems, speech recognition, Automotive Grade Linux, Voice Assistant","Abstract: This project aims to enhance the speech recognition engine used in Automotive Grade Linux by creating a natural language intent engine that can understand and respond to commands. The goal is to develop a voice assistant that can understand voice commands and take necessary action based on them (e.g. turn down the volume, increase AC temperature). -- Implementation Details: The current Vosk Kaldi speech-to-text functionality will be enhanced by integrating the Snips and RASA NLU engine. The NLU engine will help in extracting the context and intent of voice commands. The extracted intent will be used directly or indirectly by a gRPC-based service which will execute it by communicating with the underlying Kuksa Server APIs. -- Deliverables: 1.) Integration and development of Snips and RASA Natural Language Understanding Intent Engines with existing Vosk implementation. 2.) Ability to execute the intent extracted from the NLU engine using a gRPC-based server, GStreamer, and Kuksa. 3.) A flutter-based Linux voice assistant app to communicate with the gRPC-based service.",https://summerofcode.withgoogle.com/programs/2023/projects/v0K55l17
Efficient Communication with Key/Value Storage Devices,Manank Patel,https://ucsc-ospo.github.io/report/osre23/ucsc/kvstore/20230825-manank/,"Aldrin M, Philip A. Kufeldt",UC OSPO,"c, sockets, io_uring","performance, network, storage, I/O, key/value",The project involves implementing io_uring based communication backend for network based key-value store. The current implementation in the KTLI (Kinetic transport layer interface) uses traditional sockets and POSIX APIs to communicate with the backend. io_uring offers a new kernel interface that can improve performance through zero copy network transmission capabilities and avoid the overhead of system calls.,https://summerofcode.withgoogle.com/programs/2023/projects/7WPESTT0
Estimating the energy cost of scientific software,Manas Pratim Biswas,https://github.com/sanam2405/SoftwareEnergyCost,"Benedikt Hegner, Caterina Doglioni",CERN-HSF,"python, machine learning, c++, git, deep learning, jupyter notebook, Software Profiling, Software Testing","High Throughput Computing, Scientific Software Profiling, Software Metrics, Estimating Energy Efficiency, Green Software Foundation","The Large Hadron Collider (LHC) experiments generate massive datasets composed of billions of proton-proton collisions. The analysis of this data requires high-throughput scientific computing that relies on efficient software algorithms. In this project, I aim to investigate whether small efficiency improvements in the LHC software can have a large energetic impact, given the sheer volume of data involved. Additionally, I aim to explore the impact of different computing architectures and job submission systems on energy efficiency. To achieve these goals, I will use metrics from the Green Software Foundation and other resources to estimate energy efficiency. I will then evaluate whether to make small changes to the code to improve efficiency and evaluate the potential savings. I will also test the software on different platforms and job submission systems. My expected results include a summary of metrics for software energy consumption, visualisation of test results, and identification of possible improvements to software algorithms. The project will provide valuable insights into the energy efficiency of scientific software, with potential applications beyond the LHC experiments.",https://summerofcode.withgoogle.com/programs/2023/projects/Nks9akq7
Manash Kumar_Proposal_Rocket Launcher Visualizer / SpaceX Rocket Visualizer_350 Hours Duration,Manash Kumar,https://gist.github.com/SagittariusA11/1042d88f5e560366770307be8a9db108,"Andreuibanez, Yash Raj, Victor Carreras",Liquid Galaxy project,"flutter, Api Integration",app development,"I am planning to build the app using flutter for frontend and calling APIs using dart package called “retrofit” for collecting data of rocket launches from APIs such as “https://www.rocketlaunch.live/api” and “https://docs.spacexdata.com/” and “https://spaceflightnewsapi.net/” this API to access different news articles and related information about the launch to show on the app also Celestrak API “https://celestrak.org/” for satellite data. We use “google_maps_flutter” for the live location of the user, “google_directions_api” for finding routes to the nearest launch site and “geocoding” to convert the named launch site location to coordinates. After calling the API it will return data in JSON format which we will convert to KML format file and store it locally using “shared_preferences” and then will send it to Liquid Galaxy for visualisation. There will be a map screen as well in the app to visualise the launch in the app itself if it is not connected to Liquid Galaxy. I will use embedded code sent to LG Rig using the KML format of placemarkers of the launch site with a YouTube live video link pasted by users (of which instructions will be mentioned) in the input text field which will telecast live launch video on LG alongside visualisation.",https://summerofcode.withgoogle.com/programs/2023/projects/5ZScXUZt
Facilitating H5P and SCORM import in Kolibri Studio,Manav Aggarwal,https://github.com/learningequality/studio/issues/4081,Richard Tibbles,Learning Equality,"javascript, vue.js","Parsing, download-linked-files, license mapping","This project tries to solve the problem of importing two new file formats called H5P and IMS Content Package (SCORM). These packages' metadata needs to be extracted and used to create a course node ( topic node and resource node ) which will later be used to render the files for educational content. To make the content available offline, this project aims to download all the externally linked reference links and embed them along with the file. This will be achieved using various npm packages like JSZip and fast-xml-parser to parse and extract the metadata from the content files and JavaScript to download the externally linked files and embed them into the files for offline use.",https://summerofcode.withgoogle.com/programs/2023/projects/ee06M2RH
Development of a Web Based robotic simulator for the DIY robot kit for educators,Manousos Linardakis,https://gist.github.com/manouslinard/29b2decf4b88e6e0919c81c993969ba0,Christos Chronis,Open Technologies Alliance - GFOSS,"python, javascript, flask, godot, SocketIO","web, robotics, graphics, cloud, Simulator, WebSockets","I propose to develop a comprehensive and accessible robot simulation system for the FOSSbot project, utilizing cutting-edge technologies and best practices to create a fully-functional and optimized simulator. The development process will involve careful platform selection, deep understanding of the FOSSbot robot and its components, as well as the creation of class-ready simulator stages for educators and students. To overcome future cloud deployment cost constraints, I suggest using a game engine like Unity or Godot to create a lightweight simulator based on WebGL and Web Assembly. Through extensive debugging and documentation, the final product will be an advanced and accessible robot simulation system that will benefit the FOSSbot community.",https://summerofcode.withgoogle.com/programs/2023/projects/xsxF9klm
Fix Handling of Undefined Behavior in NewGVN,Manuel Brito,https://github.com/ManuelJBrito/GSoC-2023-NewGVN,Nuno Lopes,LLVM Compiler Infrastructure,c++,"compilers, programming languages, IR, optimizations","NewGVN was introduced to LLVM to cope with the limitations of the old GVN. It hasn't, however, seen widespread adoption, due to its bugs and missing features in relation to the old GVN. One source of issues with NewGVN is its handling of undefined behavior (UB). We are either too permissive, which can lead to correction issues, or we try to disable it, which makes us lose potential optimizations, while also not making it completely correct. Major steps: 1. Compile test cases showing NewGVN's failure to handle UB 2. Write pseudocode for NewGVN 3. Fix pseudocode 4. Implement changes Expected result: An improved version of NewGVN with better handling of UB and more awareness of its overall limitations.",https://summerofcode.withgoogle.com/programs/2023/projects/oQUfcx89
Enhancing Media Privacy in Chromium's Incognito Mode,Manuel Palenzuela Merino,https://docs.google.com/document/d/1FuqY9tTvkKNdOPYpdBvSH-jDqvY878x7yIIDYrQC6vs,"Stephen, Filipa Senra, Zaina",Chromium,c++,"security, privacy, web, browser","Google Chromium's Incognito Mode currently has a privacy issue where the media metadata of the browser can be displayed in operating systems' media centers, which undermines the purpose of this privacy-focused feature. This poses a significant concern for users and can erode their trust in Chromium's privacy promises. This project aims to enhance media privacy in Incognito Mode by intercepting and modifying media metadata with placeholder data before sending it to the OS (SystemMediaControls API), preventing operating systems' media centers from showing any metadata of media being played in Incognito sessions.",https://summerofcode.withgoogle.com/programs/2023/projects/HdCyydGz
Quantum Transformers for HEP Analysis at the LHC,Marçal Comajoan Cara,https://salcc.github.io/blog/gsoc23,"Emanuele Usai, Amey Bhatuse, Purva Chaudhari",Machine Learning for Science (ML4SCI),"python, pytorch, Jax, Pennylane, TensorCircuit","deep learning, Quantum Machine Learning, Transformers, High Energy Physics Analysis","This project aims to develop quantum transformer architectures for high energy physics (HEP) analysis at the Large Hadron Collider (LHC). The focus will be on creating hybrid and fully quantum transformer and vision transformer models. Transformers have proven to be extremely powerful, revolutionizing the field of artificial intelligence and significantly impacting the world with their wide range of applications. By merging the remarkable capabilities of transformers with the emerging field of quantum machine learning, this project aims to make significant advancements in both areas. To ensure accessibility, an engaging visual guide will be provided, helping a wider audience understand the subject and fostering interest in quantum machine learning. The outcomes of the project are expected to benefit the open-source community and contribute to scientific advancements, inspiring further research and innovation in these exciting fields.",https://summerofcode.withgoogle.com/programs/2023/projects/t0AHVDEG
Enhancements in linear algebra,Marie B,https://marizee.github.io/GSoC-2023/,Vincent Neiger,SageMath,"c, python, c++","linear algebra, Matrix","Sage incorporates state-of-the-art libraries for exact linear algebra computations, such as matrix multiplication, reduced echelon form, linear system solving, when the coefficients are in an exact domain such as the integers or finite fields. However, several aspects make the integration of these libraries not yet fully satisfactory. For example, working over a prime field with a prime below about 20 bits, the mere creation of a zero matrix in SageMath takes roughly as long as the call of the underlying fast reduced echelon form procedure (performed by LinBox / FFLAS-FFPACK in this case). Still about FFLAS-FFPACK: several available tools in this library are not offered through the Sage interface, constraining the user experience; for example, some pivoting strategies are not available, despite their usefulness in some situations e.g. when one is interested in the preservation of some rank profile properties. Finally, the integration of linear algebra implementations from Flint has been initiated, with a good amount of work already done, but is not fully finalized and has not been merged into Sage. This project aims to make this kind of enhancements, which would lead to more efficient and more versatile finite field linear algebra operations in Sage.",https://summerofcode.withgoogle.com/programs/2023/projects/0ieRwUMU
GNUnet Transport Next Generation (TNG): Communicator plugins,Marshall,https://www.gnunet.org/en/news/2023-08-GSoC-QUIC.html,"Christian Grothoff, Martin Schanzenbach",GNU Project,"c, QUIC","networking, Transport Protocols","The protocols supported by Transport Next Generation are limited to TCP and UDP. I will implement a new communicator plugin to transport data using QUIC. This adds more redundancy to the new communicators. I will conduct research into the QUIC protocol and keep in contact with my mentor and other GNUnet developers to create a detailed plan to build a QUIC plugin. I will develop a plugin that allows peers to connect over QUIC and continue supporting GNUnet by fixing bugs, writing documentation, and working on other plugins such as HTTPS.",https://summerofcode.withgoogle.com/programs/2023/projects/Tz0ohYot
Port SquashFuse to the FreeBSD kernel,Mashijams,https://wiki.freebsd.org/SummerOfCode2023Projects/PortSquashFuseToTheFreeBSDKernel,Chuck,The FreeBSD Project,c,"operating systems, fuse, File-Systems","SquashFS is a read-only filesystem targeted for small embedded environments, where memory and disk space is constrained. Squash-Fuse is a BSD-licensed FUSE implementation of SquashFS. The goal of this project is to port this implementation to the FreeBSD kernel, with the aim of being able to boot FreeBSD from an in-memory SquashFS filesystem.",https://summerofcode.withgoogle.com/programs/2023/projects/8OUr49Dx
Fuzzer Template Generator: abstracting complexity to produce knowledge.,Matheus Baptistella,https://github.com/AFLplusplus/LibAFL/pull/1344,"Andrea, Addison",AFLplusplus,rust,"security, fuzzing","Libafl is a library written in Rust that provides components to build fuzzers. A newcomer might feel confused when creating a fuzzer because that requires some knowledge of what each component does and how they can be used together. Without prior experience, going through the repository and trying to understand these features on your own is not a trivial task. To make Libafl more beginner-friendly, as well as didactic, this project proposes the implementation of a Fuzzer Template Generator. The generator will guide the user through the components, explain their functionalities and utilization, and output snippets of that component's Rust code, so the user may apply it to their fuzzer implementation. Therefore, this project aims to: 1. Implement a wizard, to show options and take the user's decisions, 2. Add a progressive flow chart generation, to help keep visual track, 3. Output Rust code for each component selected.",https://summerofcode.withgoogle.com/programs/2023/projects/CQBo3pNX
Clustering 3D point clouds,Mathieu LADEUIL,https://github.com/CGAL/cgal-public-dev/tree/gsoc2023-Clustering_QEM-mladeuil/,"Mael, Pierre Alliez",CGAL Project,c++,"cluster, point cloud, K-means",- 1 weeks understanding the article and making small code test to get into the CGAL architecture at this point I should be able to manipulate the CGAL methods and visualize in a 3d interface what i'm doing. - 8 weeks for the implementation of the algorithm - 2 weeks concise mesh reconstruction algorithm at this point I should be able to reconstruct a mesh - 1 weeks testing and documentation at this point I should be able to deliver a product,https://summerofcode.withgoogle.com/programs/2023/projects/HcvzfS2g
Pycxxwrap,Matrixbot,https://matrixbot123.github.io/gsoc23/,"Hartmut Kaiser, Stevenrbrandt",Ste||ar group,"python, c++, Pybind11","HPX Integration with Python, Python-C++ Integration","Pycxxwrap is a versatile Python decorator used to wrap C++ code into Python using Pybind11. It serves as a wrapper around Pybind11, a lightweight, header-only library that facilitates the exchange of C++ types between Python and C++. The primary goal of this project is to provide a Pythonic interface for C++ libraries, simplifying their usage and enabling the creation of Python libraries from existing C++ ones. Additionally, Pycxxwrap includes special support for the HPX library, a C++ Standard Library for Concurrency and Parallelism, using custom header files.",https://summerofcode.withgoogle.com/programs/2023/projects/2gxWyLH7
Libfabric Implementation of rFaaS,Matt Nappo,http://mattnappo.com/archive/gsoc/,Marcin Chrapek,Scalable Parallel Computing Laboratory,"c++, libfabric, librdmacm, libibverbs","hpc, faas, Serverless","RDMA can be implemented with many different network backends, including InfiniBand, RoCE and Soft-RoCE, TCP/IP and UDP via iWarp, Cray GNI, and Amazon EFA. However, rFaaS presently only supports a verbs backend, such as RoCE or InfiniBand. This project expands support of rFaaS to include a more extensive range of networking backends using libfabric. As a result, rFaaS is now much more versatile, accessibly, and widely deployable. Complete with a proper configuration system, users of rFaaS are now able to easily choose the protocol they wish to use on their cluster.",https://summerofcode.withgoogle.com/programs/2023/projects/nAscRfXB
The Tor Network Status API,Mattia Righetti,https://mattrighetti.com/2023/09/26/network-status-apis.html,"GeKo, Silvia [Hiro]",The Tor Project,"rust, sql","web, rest apis, backend","In an effort to improve current resource utilisation and optimisation, the Tor team is developing a new version of their pipeline (v2.0). This update involves transferring much of the data related to Tor nodes and bridges from files stored on a single server's disk to two separate databases: Postgres and Victoria Metrics. The main objective of this project is to design a RESTful API service using the `actix_web` framework that is going to be integrated in the new pipeline v2.0 to support data retrival from the two databases. In particular, the focus will be on designing the new APIs, its requests, and response formats. The project will also involve defining appropriate endpoints and data models, ensuring scalability, performance, and security. The final goal is to achieve a web service that is going to extend/replace the current onionoo protocol used by stakeholders interested in the status of the Tor network and its individual nodes.",https://summerofcode.withgoogle.com/programs/2023/projects/9Jt0KtWV
Audio to Haptic interaction design with ForceHost and Feelix supporting DeformableHapticSurfaces,Maxwell Gentili-Morin,https://sat-mtl.gitlab.io/collaborations/google-summer-of-code/posts/2023-contributions/maxw3llgm/work-product-maxw3llgm-audio-to-haptic-interaction-design-with-feelix-supporting-torquetuner/,"Christian Frisson (SAT), Edu Meneses, Anke van Oosterhout, Christian Frisson",Society for Arts and Technology (SAT),"javascript, c++, angular, typescript, electron, Faust, esp32","Haptics, Audio Interaction, Immersive Arts","Haptics, as a multidisciplinary field, has applications within the Medical, Consumer and Entertainment domains, to name a few, and despite their widespread presence in our phones to provide the user with a vibrotactile feedback response (a subset of haptics), haptics have very minimally been explored by artists as a tool for authoring immersive arts. The proposed project aims to create low-cost affordable haptic devices with one or mutliple degrees of freedom and authoring tools for artists to implement into their artwork immersive haptics and interactive audio. In the near future, artists can then use the proposed toolkit to benefit from Haptic floors being deployed into immersive art spaces like the Dome at SAT. The authoring tools Feelix, a ”haptic authoring tool developed to support the design and integration of force feedback and shape change in user interfaces”, and ForceHost, a toolchain that uses the functional sound synthesis and processing programming language FAUST that compiles firmware for audio-haptic applications, will be extended for use with the DeformableHapticSurfaces, a work-in-progress and open-source toolkit for interactive multi-linear DoF deformable surfaces, to create and demo the proposed immersive haptic and audio interaction toolkit. Support for audio input will also be added into Feelix potentially with ForceHost as an input modality so that ForceHost developed tools can interface their audio with the Haptic floor.",https://summerofcode.withgoogle.com/programs/2023/projects/YmhosRcH
Active Learning based Bayesian Geometry Optimizer,Mayank Goel,https://drive.google.com/file/d/1dORddM413QPwhrYDsuFCtvhKkFz7MakA/view?usp=sharing,Geoffrey Hutchison,Open Chemistry,"python, pytorch, Botorch, gpytorch, Open Babel","computational chemistry, Gaussian Processes, bayesian optimization","The goal of this project is to develop an Active Learning based Bayesian Geometry Optimizer(ALBGO) using PyTorch and BoTorch for optimizing the conformers locally and globally in internal coordinates, with support for several computational models like force fields, quantum chemistry and ML-based force fields. Bayesian Optimization is a highly effective technique for global optimization of ""black box"" functions and tuning hyperparameters. Since it does not require gradients, it can efficiently optimize hyper parameters for a Deep neural network or even electronic structure methods without derivatives. The project involves using Bayesian Optimization with an active learning approach to optimize conformers. The major work involves finding the right set of kernels for the Gaussian Process model for different types of molecular variables like Vibrational energy, bond lengths etc. and tuning them. We also an active learning approach to help the algorithm converge towards the solution much more quickly. Finally, we benchmark and compare the performance of our optimizer against other conformer optimization methods in use, like BFGS and gradient-based optimization algorithms. This project has the potential to significantly improve the optimization capabilities of researchers in several fields by reducing the cost of optimization and improving optimization performance. The ALBGO algorithm will be a valuable addition to the optimization landscape, and its PyTorch-based implementation will make it easily accessible to a wide range of users including non-chemists.",https://summerofcode.withgoogle.com/programs/2023/projects/kHh0ki8k
Activation functions and Pooling methods,Mayank Raj,https://github.com/mayank-root/GSoC-Report/blob/main/GSoC%202023%3A%20Activation%20functions%20and%20Pooling%20layes.md,"Marcus Edel, Abhinav Anand",mlpack,c++,Activation functions and Pooling methods,"Two new activation functions have been recently proposed FTSwish, and LiSHT and I am proposing to add them to mlpack along with two Pooling methods. These activation functions. Activation functions provide the non-linearity vital to allowing deep learning networks to perform an impressive number of tasks. ReLU (Rectified Linear Unit) has been the default workhorse for some time in deep learning. However, some concerns over ReLU’s removal of all negative values and the associated dying gradient, have prompted new activation functions that handle negative values differently.",https://summerofcode.withgoogle.com/programs/2023/projects/qIgOGbv6
